N;Country/Region;ISOCode;Zone Region 1;Zone Region 2;Zone
177;Portugal;PRT;Southern Europe;;Europe
178;Puerto Rico;PRI;Caribbean;Latin America and the Caribbean;North America
179;Qatar;QAT;Western Asia;;Asia
180;Republic of Korea;KOR;Eastern Asia;;Asia
181;Moldova;MDA;Eastern Europe;;Europe
182;Réunion;REU;Eastern Africa;Sub-Saharan Africa;Africa
183;Romania;ROU;Eastern Europe;;Europe
184;Russia;RUS;Eastern Europe;;Europe
185;Rwanda;RWA;Eastern Africa;Sub-Saharan Africa;Africa
186;Saint Barthélemy;BLM;Caribbean;Latin America and the Caribbean;North America
187;Saint Helena;SHN;Western Africa;Sub-Saharan Africa;Africa
188;Saint Kitts and Nevis;KNA;Caribbean;Latin America and the Caribbean;North America
189;Saint Lucia;LCA;Caribbean;Latin America and the Caribbean;North America
190;Saint Martin (French Part);MAF;Caribbean;Latin America and the Caribbean;North America
191;Saint Pierre and Miquelon;SPM;Northern America;;North America
192;Saint Vincent and the Grenadines;VCT;Caribbean;Latin America and the Caribbean;North America
193;Samoa;WSM;Polynesia;;Oceania
194;San Marino;SMR;Southern Europe;;Europe
195;Sao Tome and Principe;STP;Middle Africa;Sub-Saharan Africa;Africa
196;Sark;;Northern Europe;Channel Islands;Europe
197;Saudi Arabia;SAU;Western Asia;;Asia
198;Senegal;SEN;Western Africa;Sub-Saharan Africa;Africa
199;Serbia;SRB;Southern Europe;;Europe
200;Seychelles;SYC;Eastern Africa;Sub-Saharan Africa;Africa
201;Sierra Leone;SLE;Western Africa;Sub-Saharan Africa;Africa
202;Singapore;SGP;South-eastern Asia;;Asia
203;Sint Maarten (Dutch part);SXM;Caribbean;Latin America and the Caribbean;North America
204;Slovakia;SVK;Eastern Europe;;Europe
205;Slovenia;SVN;Southern Europe;;Europe
206;Solomon Islands;SLB;Melanesia;;Oceania
207;Somalia;SOM;Eastern Africa;Sub-Saharan Africa;Africa
208;South Africa;ZAF;Southern Africa;Sub-Saharan Africa;Africa
209;South Georgia and the South Sandwich Islands;SGS;South America;Latin America and the Caribbean;South America
210;South Sudan;SSD;Eastern Africa;Sub-Saharan Africa;Africa
211;Spain;ESP;Southern Europe;;Europe
212;Sri Lanka;LKA;Southern Asia;;Asia
213;State of Palestine;PSE;Western Asia;;Asia
214;Sudan;SDN;Northern Africa;;Africa
215;Suriname;SUR;South America;Latin America and the Caribbean;South America
216;Svalbard and Jan Mayen Islands;SJM;Northern Europe;;Europe
217;Sweden;SWE;Northern Europe;;Europe
218;Switzerland;CHE;Western Europe;;Europe
219;Syria;SYR;Western Asia;;Asia
220;Tajikistan;TJK;Central Asia;;Asia
221;Thailand;THA;South-eastern Asia;;Asia
222;Timor-Leste;TLS;South-eastern Asia;;Asia
223;Togo;TGO;Western Africa;Sub-Saharan Africa;Africa
224;Tokelau;TKL;Polynesia;;Oceania
225;Tonga;TON;Polynesia;;Oceania
226;Trinidad and Tobago;TTO;Caribbean;Latin America and the Caribbean;North America
227;Tunisia;TUN;Northern Africa;;Africa
228;Turkey;TUR;Western Asia;;Asia
229;Turkmenistan;TKM;Central Asia;;Asia
230;Turks and Caicos Islands;TCA;Caribbean;Latin America and the Caribbean;North America
231;Tuvalu;TUV;Polynesia;;Oceania
232;Uganda;UGA;Eastern Africa;Sub-Saharan Africa;Africa
233;Ukraine;UKR;Eastern Europe;;Europe
234;United Arab Emirates;ARE;Western Asia;;Asia
235;United Kingdom;GBR;Northern Europe;;Europe
236;Tanzania;TZA;Eastern Africa;Sub-Saharan Africa;Africa
237;United States Minor Outlying Islands;UMI;Micronesia;;Oceania
238;US;USA;Northern America;;North America
239;United States Virgin Islands;VIR;Caribbean;Latin America and the Caribbean;North America
240;Uruguay;URY;South America;Latin America and the Caribbean;South America
241;Uzbekistan;UZB;Central Asia;;Asia
242;Vanuatu;VUT;Melanesia;;Oceania
243;Venezuela;VEN;South America;Latin America and the Caribbean;South America
244;Vietnam;VNM;South-eastern Asia;;Asia
245;Wallis and Futuna Islands;WLF;Polynesia;;Oceania
246;Western Sahara;ESH;Northern Africa;;Africa
247;Yemen;YEM;Western Asia;;Asia
248;Zambia;ZMB;Eastern Africa;Sub-Saharan Africa;Africa
249;Zimbabwe;ZWE;Eastern Africa;Sub-Saharan Africa;Africa
